OBČINA,KANDIDAT,SPOL,PREDLAGATELJ,OBLJUBA
OBČINA SOLČAVA,Katarina Prelesnik,ž,Jasmina Štiftar in skupina volivcev,0
OBČINA CIRKULANE,Antonija Žumbar,ž,JELKA PAJNKIHER IN SKUPINA VOLIVCEV,0
OBČINA DOLENJSKE TOPLICE,Franc Vovk,m,Jernej Ban in skupina volivcev,0
OBČINA PREBOLD,Miha Fonda,m,JERNEJ GIGERL IN SKUPINA VOLIVCEV,0
OBČINA DORNAVA,Janko Merc,m,Jože Brodnjak in skupina volivcev,0
OBČINA KOSTANJEVICA NA KRKI,Andrej Rajar,m,Jože Junkar in skupina volivcev,0
OBČINA ŽETALE,Anton Butolen,m,JOŽE KRIVEC IN SKUPINA VOLIVCEV,0
MESTNA OBČINA LJUBLJANA,Zoran Janković,m,JOŽE MERMAL S SKUPINO VOLIVCEV,0
OBČINA KOZJE,Milenca Krajnc,ž,JOŽEF KAJBA IN SKUPINA VOLIVCEV,0
OBČINA BLOKE,Jože Lavrič Cascio,m,JOŽEF MULC IN SKUPINA VOLIVCEV,0
OBČINA MOZIRJE,Ivan Suhoveršnik,m,Jožef Skornšek in skupina volivcev,0
OBČINA ZAVRČ,Robert Vuzem,m,JOŽEF TEŽAK IN SKUPINA VOLIVCEV,0
OBČINA MUTA,Darko Sahornik,m,Jožef Verhnjak in skupina volivcev - Lista Darka Sahornika,0
OBČINA KUNGOTA,Rudi Matjašič,m,JOŽEK KETIŠ IN SKUPINA VOLIVCEV,0
OBČINA MENGEŠ,Franc Jerič,m,JURIJ JERIČ IN SKUPINA VOLIVCEV,0
OBČINA IDRIJA,Tomaž Vencelj,m,Jurij Kavčič in skupna volivcev,0
OBČINA TRBOVLJE,Alenka Forte,ž,SDS,0
OBČINA PESNICA,Klavdija Samogy Simonič,ž,KAŠMAN JOŽE IN SKUPINA VOLIVCEV; Lista S.O.N.C.E za Občino Pesnica,0
OBČINA GORJE,Peter Torkar,m,Katjuša Torkar in skupina volivcev,0
MESTNA OBČINA KOPER,Boris Popovič,m,KJN - KOPER JE NAŠ,0
OBČINA TRZIN,Rado Gladek,m,SDS,0
